Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
'8378563200','4/6/2016',9124,7.239999771,7.239999771,2.0921471119999997,0.0,0.25,6.989999771,0,55,6,230,728
'8378563200','4/7/2016',9725,7.7100000379999996,7.7100000379999996,2.253081083,2.410000086,0.5299999710000001,4.769999981000001,0,83,11,181,670
'8378563200','4/8/2016',8350,6.6199998860000004,6.6199998860000004,2.0921471119999997,1.49000001,0.5299999710000001,4.610000134,0,72,10,167,868
'8378563200','4/9/2016',2240,1.7799999709999998,1.7799999709999998,0.0,0.0,0.0,1.7799999709999998,0,0,0,110,843
'8378563200','4/10/2016',2631,2.089999914,2.089999914,0.0,0.0,0.0,2.089999914,0,0,0,117,727
'8378563200','4/11/2016',8837,7.010000229,7.010000229,2.0921471119999997,1.5399999619999998,0.879999995,4.590000153,0,74,17,182,811
'8378563200','4/12/2016',3246,2.569999933,2.569999933,2.253081083,0.829999983,0.7099999790000001,1.0299999709999998,0,65,15,49,243
'8583815059','4/1/2016',2174,1.7000000480000002,1.7000000480000002,0.0,0.0,0.0,1.7000000480000002,0,0,0,112,1328
'8583815059','4/2/2016',3494,2.7300000189999998,2.7300000189999998,0.0,0.0,0.0,2.6900000569999998,0,0,0,166,1274
'8583815059','4/3/2016',2380,1.8600000140000001,1.8600000140000001,0.0,0.0,0.0,1.8600000140000001,0,0,0,131,1309
'8583815059','4/4/2016',3159,2.460000038,2.460000038,0.0,0.0,0.0,2.460000038,0,0,0,147,1293
'8583815059','4/5/2016',6835,5.329999924,5.329999924,0.0,0.370000005,0.7300000190000001,4.239999771,0,5,15,212,1208
'8583815059','4/6/2016',2098,1.6399999859999999,1.6399999859999999,0.0,0.0,0.0,1.629999995,0,0,0,112,1328
'8583815059','4/7/2016',2816,2.200000048,2.200000048,0.0,0.0,0.0,2.200000048,0,0,0,138,1302
'8583815059','4/8/2016',1408,1.100000024,1.100000024,0.0,0.0,0.0,1.100000024,0,0,0,79,1052
'8792009665','4/1/2016',4592,2.9400000569999998,2.9400000569999998,0.0,0.10000000099999999,0.14000000099999999,2.700000048,0,4,8,176,748
